投稿本文	投稿日時	主観_喜び	主観_悲しみ	主観_期待	主観_驚き	主観_怒り	主観_恐れ	主観_嫌悪	主観_信頼	客観1_喜び	客観1_悲しみ	客観1_期待	客観1_驚き	客観1_怒り	客観1_恐れ	客観1_嫌悪	客観1_信頼	客観2_喜び	客観2_悲しみ	客観2_期待	客観2_驚き	客観2_怒り	客観2_恐れ	客観2_嫌悪	客観2_信頼	客観3_喜び	客観3_悲しみ	客観3_期待	客観3_驚き	客観3_怒り	客観3_恐れ	客観3_嫌悪	客観3_信頼
微分方程式にせよ電場にせよ聞かれたら教えてやれそうなことは多いけど、自分のことが手一杯であまりそれどころじゃないw	2018/07/31 23:48	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0
演技本番で4LzのGOE加点もらう夢見た	2018/09/09 08:42	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0
来年後期の部練で、よく出そうな言葉「今日も幹部おらんな」	2018/09/24 23:26	1	1	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
コスギに靴預けることで、研磨と荷物軽量化が兼ねられてつよい	2018/11/12 11:53	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0
CMの「インク代90%OFF」が「リンク代90%OFF」に聞こえて反応してもた	2018/12/02 23:27	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0
まって、アマゾンのアドベンチャー・タイム有料になってる、、、しょっく、、、、、	2018/12/20 22:41	0	2	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	3	0	2	0	0	0	0
ポーアイってレアワードすぎる	2019/02/09 13:22	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0
ザギトワ選手、動きが止まる時間がマジで無かった	2019/03/20 20:58	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0
貸切時間が連絡なく勝手に変えられてるの割とあるよな	2019/03/25 17:46	0	1	0	2	2	1	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	3	0
阪名戦2019 は 6/30(日)16:30〜19:55＠邦和	2019/04/03 10:41	0	0	2	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
ひとりくらい、朝貸+合宿+合宿+SEQおりそう	2019/04/20 17:46	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
6月臨海取れなかったらしくてなみだ	2019/04/22 17:45	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0	0
今年の部員数、おそらく音かけギリギリ回る人数なので、２年後の新入生定員が、抜けていく僕らの代の人数（＝２〜３人）となりそうで非常にマズい	2019/04/27 23:14	0	0	1	1	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	3	0	0
まぁどうせ予想は色々狂う	2019/04/27 23:17	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0
個人部練、指導側の圧倒的人手不足感	2019/05/11 12:18	0	1	0	1	0	1	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	2	0	0
"23人分の1,2回生と日程調整するの難しすぎる、日程調整を自動化してぇ"	2019/05/11 15:35	0	1	1	0	0	1	0	0	0	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	2	3	0	0	2	3	0
充実した講評書いていただけてるのすごく有難いんだけど、日に日に長文になってて、俺の番（金曜）のハードル上がってない？？？(笑)	2019/05/17 01:05	1	0	2	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	2	0	0
いや、もうこれ来週は個人部練無理では	2019/06/08 00:15	0	1	0	1	0	2	0	0	0	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0
昨日部員みんなで心配してた件ですが、とりあえず大丈夫でした	2019/06/23 10:46	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
明日天気が怪しすぎる	2019/06/28 16:51	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	3	0	0
4人貸切、楽しすぎた！！	2019/07/17 01:02	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
90分間、コース描き続けてた	2019/07/17 01:03	2	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0
飛行機30分おくれとる	2019/08/04 17:45	0	1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0
主務は忙しいので、そういう面倒な仕事増やさんといてほしい	2019/08/06 17:12	0	0	0	0	1	0	0	0	0	2	0	2	0	2	2	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	3	0
初めて観たジブリ映画がこの名作だったから思い入れが強いんよな	2019/08/16 21:18	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
最初から上手かったんやなぁ1Lo入れる選択肢考えてなかったわ	2019/08/23 15:25	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0
今日の西宮、人多ない？日曜ってこうやったっけ	2019/08/25 10:12	0	1	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0
2級受け直しとかマジかよ	2019/08/25 12:47	0	1	0	2	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0
京阪、全クラスでジャッジ5人体制になったので、是非スコア確認にお役立てください！	2019/08/29 06:19	1	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	0	0	0
うちの副務たち優秀すぎるので、僕が作成頼む前に先に完成版書類を送ってくる	2019/08/29 20:37	2	0	2	1	0	0	0	3	2	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
なんか僕2枚とも12万超だったんよねー（立て替えが多いだけ…のはず…）	2019/08/31 01:18	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	3	0	0
メモ：６練＋現役全員＋バジテ２回＝82分	2019/08/31 09:40	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"主務LINEと2,3回生LINE、両方ボーヤンなので間違えたw"	2019/09/04 23:43	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
リンク＆宿のお土産用の月化粧を買い忘れてたもう神戸ラスクとかでええかなぁ	2019/09/05 18:39	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0
合宿代、計算できたけど日付回ってしまって言えなくなった	2019/09/06 00:04	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0
あーデッキ持ってる人誰やっけ、デッキは要らんけど、滑走順ボードだけ欲しい	2019/09/06 01:08	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
ああー、会計処理は間違っちゃいかんわぁ・・・ミス・・・	2019/09/06 08:30	0	2	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	2	0	0	0	3	3	0
そして大量に500円玉が必要になった・・・	2019/09/06 08:31	0	1	0	0	0	1	0	0	0	2	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	3	0
いや、臨海当面ジャンプ不可とかしたら難民が量産されて西宮混むやん、だめだめ	2019/09/06 10:07	0	1	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	3	0
大阪暑い…	2019/09/10 18:08	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
やっぱ携帯アラーム調子悪いっぽい……	2019/09/10 19:09	0	2	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0
やっぱちゃんと議論できるだけの人数がほしい！一人の考えだと限界がある！！！！	2019/09/11 22:15	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	3	0	0	3	0	0
住所一覧から自動で宛名シール印刷用に並べてくれるツールができた	2019/09/17 00:17	2	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
日学連の選手名簿の訂正、「9/18午前0時まで」って実質「本日9/17(火)23:59まで」ってことよな、随分急やな	2019/09/17 18:26	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	2	0
バジテ結果、発表直後にサイトに反映されてて早い	2019/09/22 00:12	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0
DS Lite でもいけるんかな（どこにあったっけ）	2019/09/24 00:12	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0
あ、そうか、12/23は天皇誕生日やったんや	2019/09/25 19:40	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Twitterって字数制限のある1つのツイートにまとめるものだし、それだけで出回るなんて常なので、1つのツイートだけで判断するなって言う方が無理だと思うけどなぁそれだけを見ても誤解ない書き方が求められるんじゃないの	2019/10/04 07:07	0	0	0	0	1	0	1	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	3	0
日本語が下手なのはほっといたれよwって感じだけど、誤解されてるなって思ったら反抗するんじゃなくて、丁寧に弁論したらいいと思うな「それは誤解で、インカレのことはこう見てて、ここに書いてるんで是非読んでください！」みたいな感じに書いた方が記事見てくれるファン増えるかもしれないじゃん	2019/10/04 07:14	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0
今年は阪大ダンス勢が減ったなぁって思ってたけど、いつの間にか去年より増えてた	2019/10/07 08:05	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0
バジテなくなるとダンスが辛い・・・	2019/10/10 01:13	0	2	0	1	0	1	0	0	0	2	0	2	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	0
関カレB級２部男子、阪大部内戦なの笑う	2019/10/12 13:31	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
今日は無念も沢山見た、悔しいなぁ	2019/10/19 22:20	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0
前回と今回で関貸の人数変わり過ぎやろw	2019/10/22 22:31	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
カナダ大会とは思えないくらい、日本広告あるな	2019/10/26 20:19	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0
昨日の部練で、1F と 1Lz<< を跳んでた子を見たし、関カレ初級楽しみやなー	2019/10/28 15:52	1	0	2	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
阪大生、 Microsoft Office とか Windows をダウンロードできるの、実は知らない人多いな？	2019/11/01 16:18	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
明日午前ポーアイ行くけど誰も学生おらんやろなぁ…	2019/11/08 21:09	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
（僕にとっては、西宮やめてまでアクア行く理由はなかなかないんよなぁ）	2019/11/15 09:46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0
微妙な時間に寝て起きてもた	2019/11/17 01:04	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0
中央改札口にサーモンいくら丼が千円で売ってたから思わず買っちゃった、美味しい	2019/11/20 12:50	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
＠各位寝るので明日の朝まで反応ありません。	2019/11/23 20:39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
無念な知らせを聞いた…	2019/11/27 13:19	0	2	0	3	0	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	3	0
ダンス出れる人は出れない人の分まで頑張ってほしい	2019/11/27 13:26	0	1	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0
もう一度、馴鹿角つける予感	2019/12/06 14:42	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
6ステップ色々やるのおもろかったけど、むずい今日は順だけでしたので、逆は自主練で補ってください	2019/12/21 23:58	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0
まずい予感	2019/12/23 23:58	0	2	0	3	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	3	0
携帯とパソコンじゃ作業効率が全然ちゃう	2019/12/30 01:39	2	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0
ネオ、パソコンに繋がらんと思ってたけど、いけたわ	2019/12/30 01:39	2	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
嬉しい	2019/12/31 14:47	3	0	3	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
全大阪の申込記入欄に「学年」があるんだけど、「１年」でよいのかなw	2020/01/04 21:19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
新しいスケート靴を検討してるのですが、オススメありますか？ブレードも変えるべき？？各メーカーの特徴知らなさ過ぎる	2020/01/05 21:12	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
全日の動画見た、全体的にミスの少ない演技ばかりで気持ちの入れ方流石なぁと思う一方、いつもより滑りにくそうに見えたしアクセルの耐え率高かったし、氷硬いんかなぁ	2020/01/06 00:50	1	0	0	1	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0
全日のインスタ見るたびに羨ましくて、、、行きたいんやが、、、8月までに…！ってのやりたいんやが、、、	2020/01/11 00:52	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0
明日の学生貸切、めちゃ少ないやん、行けば良かったかな	2020/01/13 17:50	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0
冬合宿TSの原案ができた！未だかつてない準備の早さやわ、今までどんだけ忙しかったんや	2020/01/15 20:46	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0
感動した笑、感謝感謝	2020/01/19 18:33	3	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
御堂筋、駆け込みではなく前の人に続いて乗ろうとしてる途中の人も挟んでくるから怖い	2020/01/21 13:16	0	1	0	1	0	1	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0
２巡目、2回生まで回るかビミョい...関西フリー怖い…	2020/01/24 15:36	0	1	1	1	0	1	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0
自主練LINE荒らしただけやったわ	2020/01/25 13:03	0	1	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	1	0	3	0	0
おさぷから急いで帰宅したのに、帰宅前に「全てのビデオアップロードが終わりましたー！」って何事	2020/01/26 00:17	2	0	2	1	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	3	0
今更ですが、西宮の回数券、1250円で取引可能なので、欲しい人も余ってる人も言ってください。	2020/01/28 10:30	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
時間足りなくなってきたので、効率上げていこ	2020/01/29 01:24	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0
「大政プール」	2020/01/30 10:46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
テストでもないのに今週の睡眠時間、日4:55→月3:12→火5:26→水6:04 で、通常7時間くらいなので流石にやばい気がしてきた笑	2020/02/06 06:53	0	0	1	1	0	1	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	3	0	3	0	0
おさぷ滑ろうと思ったけど余裕で絶起	2020/02/08 16:22	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	3	0	0	0	0
今日めちゃ安定してたー！	2020/02/09 23:05	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0
回り方、全然わからなくなった、しょんぼり	2020/02/14 19:27	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	2	0	0
え、まって、、、うそん、、、、	2020/02/17 00:26	0	3	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	2	0
頑張れ自分	2020/02/20 10:23	1	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0
明日、POTぶり、新採点では八大学ぶりじゃん、頑張ろ	2020/02/22 00:21	2	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
セカンド1T付け忘れたのはちゃう	2020/02/22 19:06	0	1	0	1	0	0	0	0	0	2	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
終電で寝過ごすところやった危ねえ	2020/03/13 00:35	1	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	3	0	0
今日は幸せ多かったなぁ	2020/03/22 00:56	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Yahoo! は大阪がメインオフィスじゃなかったっけ（1回見学行ったけど忘れた）	2020/03/24 23:46	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
今日の学内、袴で歩いてる女性わりと多い	2020/03/25 09:49	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0
2020現役LINEが動き始めていて、新幹部が始まったなぁって温かい気持ちになってる	2020/03/25 15:19	1	0	2	0	0	0	0	1	2	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0
え、てか、我らはまだ陸トレなり多少やれることあるけど、まだ見ぬ新入生は、ただただ開始が遅れるだけじゃん！関西フリーの初級とか間に合いますように…	2020/04/08 13:01	0	1	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	2	2	0	0	1	0	0	0	2	0	3	0	3	0	0
webサーオリってどこでやってるんだろ	2020/04/11 16:09	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
家に居る方が怪我するんだけど何故…	2020/04/23 18:18	0	2	0	1	0	0	0	0	0	2	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	3	0
